Term,Class 1 Frequency,Class -1 Frequency
tooth,20,31
embellish,2,0
zipper,3,4
approximate,5,0
length,27,37
center,198,297
hem,3,3
measurement,5,15
click,444,480
acrylic,14,2
polyester,11,4
clean,114,83
model,109,140
rr,1,8
overstock,15,0
vjstor,1,0
eeuhl,1,0
dddq,1,0
stud,7,4
matte,1,0
jersey,76,72
silvertone,1,0
dome,7,4
pepper,47,4
mesh,19,4
neckline,1,0
elegant,15,3
simplicity,5,2
accent,7,0
pullover,3,1
inch,99,48
spandex,3,1
wash,34,21
rid,54,18
stand,67,68
tall,27,14
bust,2,1
waist,7,6
hip,22,48
night,128,107
ithjbynap,1,0
rqqemdykma,1,0
arrive,78,28
creative,46,13
solution,162,273
peaceful,5,6
coexistence,1,0
creature,21,5
enchant,5,0
frustrate,6,5
father,16,23
elizabeth,34,12
treasure,8,2
dance,13,24
lawn,26,11
front,68,44
summer,89,43
cabin,8,2
hot,99,123
sleepless,1,2
porch,20,0
magical,10,0
scene,6,4
gentle,30,57
frolick,1,0
grass,83,9
chorus,1,0
sound,112,64
eate,122,101
praise,12,2
montgomery,3,6
dynamic,10,6
paint,45,21
nicely,2,0
complement,7,2
text,80,81
capture,14,4
sense,28,32
swear,2,4
hear,38,92
cricket,8,1
chirp,2,0
yourself,151,158
york,125,114
twist,16,8
tale,20,22
child,68,118
wonder,51,43
nature,123,49
sesame,13,0
street,49,55
ugbyfjqu,1,0
dmysenyjlelw,1,0
tom,18,7
smother,2,0
drop,79,64
rat,42,5
race,18,10
magician,2,0
offbeat,2,0
comedy,18,4
direct,52,91
brian,9,8
palma,1,1
scarface,1,0
untouchable,1,0
donald,6,5
beeman,1,0
soon,65,100
marvelous,2,0
train,151,139
magic,23,14
odd,10,2
delasandro,1,0
orson,1,0
welle,1,0
own,310,115
fulfillment,3,0
special,403,200
admirer,1,0
katharine,2,0
ross,2,3
wow,16,13
local,202,156
strip,45,8
club,75,42
gin,1,1
mill,31,10
corporate,78,57
abandon,8,7
heel,5,10
musician,2,1
inc,419,501
fantasy,4,2
dropout,1,0
camp,58,16
engineer,28,121
ex,11,9
boss,8,6
astin,1,0
slum,1,0
ceo,3,0
widely,14,29
proclaim,6,0
role,27,78
abracadabra,1,0
ready,125,67
laugh,13,14
manufacture,64,52
dvd,36,23
recordable,3,1
media,144,91
standard,122,166
return,181,152
policy,577,488
apply,141,95
disc,10,71
include,311,390
recorder,9,1
drive,85,102
rfg,1,0
nlhnpxvcvxosrniivq,1,0
born,26,20
victorian,3,1
london,12,10
july,39,41
th,110,92
beatrix,3,2
potter,3,3
children,164,159
starte,100,56
move,130,108
rest,91,96
delightful,34,1
warm,54,26
remember,125,43
fondly,1,0
childhood,12,20
discover,128,99
timeless,2,2
hello,26,7
qq,3,1
hllegec,1,0
rwggnez,1,0
fg,2,0
hit,69,32
contain,189,131
six,43,67
episod,5,13
nbc,42,19
qubo,1,0
telemundo,1,0
ion,4,83
animate,12,1
sery,118,68
wide,94,84
ey,70,66
adventure,39,7
mouse,16,15
thick,36,15
thin,42,34
unravel,2,2
typical,10,19
childlike,1,0
situation,23,35
inevitably,1,26
lead,118,238
imaginative,1,1
exploration,5,2
hilarious,4,0
predicament,1,0
inventive,2,1
endear,1,0
curiosity,1,2
critical,38,36
solve,14,17
journey,16,37
destination,19,14
caldecott,1,0
medal,6,0
spkavlfibrotd,3,0
fsnrgpla,3,0
edition,35,9
user,231,82
friendly,158,66
caretaker,3,1
perspective,6,10
written,108,41
people,327,362
background,21,26
goal,96,83
active,84,93
inform,29,45
decision,79,59
substitute,41,49
trip,38,36
predecessor,3,0
favorable,3,1
exotic,64,4
magazine,118,22
revise,13,3
incorporate,46,48
country,202,97
millennium,3,0
topics,57,93
symptom,69,435
treatment,124,708
variety,160,110
condition,271,470
diagnostic,26,85
test,210,315
understand,141,177
drug,79,264
prescription,33,43
supplement,199,101
alternative,85,175
cop,24,23
loss,234,213
resource,180,242
reference,78,90
sprinkl,5,2
throughout,84,98
touch,54,71
serious,42,101
feel,153,228
smokey,3,0
inspire,54,20
original,75,21
murray,8,1
contribute,19,54
update,204,130
bad,150,72
mood,17,49
unvgg,1,0
ye,1,0
vlj,1,0
sd,15,8
xaf,1,0
attitude,28,14
disgust,3,0
won,55,41
channel,45,15
salad,44,7
un,6,1
ignorable,1,0
ly,22,26
sofa,3,0
chip,23,10
wip,1,4
booger,1,0
rug,10,6
whatever,25,15
unusual,18,20
portrayal,1,0
banish,7,0
giggle,3,0
combine,120,62
silly,4,2
shake,24,6
grumpy,1,0
resonate,2,0
volkswagen,8,24
diabwhkw,1,0
ttf,1,0
wr,1,2
pkxjg,1,0
auto,86,41
wheel,52,28
bear,31,17
mm,9,17
dac,2,0
double,55,36
row,14,7
dimension,18,7
inner,8,12
diameter,15,6
outer,4,16
width,12,5
seal,29,19
metric,3,0
id,38,40
bore,2,3
od,1,2
height,33,33
thic,1,0
kness,1,1
closure,3,2
rubber,18,11
quantity,51,42
tt,4,2
quattro,1,0
sephia,1,0
spectra,1,0
maata,1,0
mx,4,1
prot,2,0
beetle,4,2
golf,37,20
gti,1,22
jetta,1,1
vxb,1,0
rate,274,218
cookie,26,15
cutter,10,6
okwcrzznnuwemioeo,1,0
measure,31,39
cute,53,12
decorate,15,10
easter,16,2
copper,24,84
tightly,4,4
fold,17,6
safety,111,151
stability,9,28
sturdy,18,8
shape,47,31
solder,3,0
permanent,14,30
hold,94,64
handmade,21,4
vary,110,80
coppergift,3,0
dirty,15,7
mbyc,1,0
drviz,1,0
xwlukyixg,1,0
brainchild,2,0
shawn,2,1
clown,2,0
crahan,1,0
memember,1,0
alt,2,2
metal,57,30
meister,1,0
slipknot,1,0
stella,3,0
vocal,7,2
mid,15,30
starlet,1,0
soleil,1,0
michael,19,17
pfaff,1,0
ryan,10,6
martin,16,13
jeff,10,1
karnowski,1,0
usually,56,168
tak,193,191
artist,17,5
lifetime,49,12
piece,52,30
artistic,3,2
puzzle,16,29
dlr,1,1
simon,6,0
ep,5,1
self,53,90
title,81,25
debut,6,0
produce,109,142
dear,26,16
band,27,17
seven,54,26
finally,54,49
aside,12,4
project,60,32
focus,30,54
initial,47,64
tremendous,7,6
european,23,8
tour,82,23
lik,25,10
lacuna,1,0
coil,2,6
stone,37,18
sour,17,4
msi,1,0
fan,85,29
appeal,21,16
radio,87,10
history,135,144
immediately,44,43
draw,32,29
curious,21,6
hardcore,4,1
rock,50,19
collection,84,39
portion,38,31
trust,100,70
themself,63,28
music,46,26
talent,5,3
faction,1,0
ton,71,23
toure,8,0
belt,27,35
tight,11,12
knit,7,1
collective,24,3
waite,60,20
performance,109,96
warp,1,1
unbelievable,33,5
campaign,12,11
willingness,1,1
art,80,55
space,49,64
belong,5,7
hole,30,14
perhap,21,23
nn,2,1
ooiyigva,1,1
gxow,1,1
ylw,1,1
ronald,3,7
reagan,2,1
afraid,37,4
client,54,43
government,36,34
employer,11,3
teacher,10,18
virtually,23,29
authority,15,8
feed,256,128
crocodile,2,1
hop,21,15
beast,6,2
deceive,1,3
path,12,42
cross,31,34
entity,22,6
religious,4,8
deception,1,1
sacre,3,2
cult,1,1
secret,129,31
society,40,31
true,66,74
ori,1,1
specy,95,9
recur,9,16
theme,23,16
awaken,3,5
truth,41,54
existence,1,7
escape,9,6
reality,20,25
seek,49,47
intellectually,1,1
challeng,6,30
stim,2,2
ulate,1,1
seeker,2,2
glimpse,6,2
evident,4,27
nqadzab,1,0
ig,2,1
jxwabaq,1,0
drape,2,0
wardrobe,6,2
surplice,1,0
lqa,1,0
avhdrbghwa,1,0
emerge,6,19
electro,4,1
wunderkid,1,0
breakbot,1,0
craft,39,24
party,149,140
tun,5,0
footstep,1,0
duo,3,0
justice,3,5
parisian,1,0
thibaut,1,0
berland,1,0
aka,9,18
master,45,22
melte,2,0
element,76,18
skill,46,25
precision,13,10
immerse,2,3
sight,10,6
subsequent,3,11
decade,10,43
remain,107,75
appropriately,1,3
pull,35,36
animation,6,19
graphics,36,11
comics,3,0
chose,36,75
neither,5,7
nor,36,8
possess,8,5
film,15,22
co,123,55
cook,92,31
choice,156,153
cut,94,61
experiment,7,10
beat,57,13
layer,41,35
keyboard,6,1
daft,1,0
punk,2,0
esque,2,0
yo,3,1
funk,1,0
bassline,1,0
acanzt,1,2
mmoij,1,2
gfglumg,1,2
delicious,95,18
ideal,88,31
organic,134,32
sugar,69,51
artificial,24,30
ingredient,184,67
squeezable,5,2
pouch,13,18
mean,112,160
spoon,6,4
resealable,4,2
whenever,12,19
start,325,262
wean,15,2
don,270,224
natural,262,187
count,42,49
diaper,19,24
drawn,7,3
vnya,2,0
wz,2,0
fq,3,2
ojhfw,2,0
hqa,2,0
cartoon,14,4
describe,34,57
lot,187,93
organize,17,10
richer,11,2
familiar,16,16
surprise,83,28
bunnysuit,2,0
invention,5,0
teamwork,3,0
travel,146,122
sundae,4,0
bunnyservant,2,0
hope,78,77
enjoy,179,85
image,100,159
pzwb,1,0
fxd,1,0
otiyg,1,0
flopsy,3,0
mopsy,1,0
cottontail,3,1
mother,46,85
sand,16,4
bank,37,50
underneath,6,25
fir,5,3
tree,98,30
naughty,3,1
steal,5,1
vegetable,129,32
farmer,105,15
despite,14,18
entertain,41,17
youngster,2,0
winsome,1,0
watercolor,3,0
lisa,28,10
mccue,1,0
br,189,121
fresh,213,31
literature,17,12
delicately,1,0
abridge,1,0
preserve,29,30
flavor,109,13
sit,39,26
milk,167,67
dn,2,0
kggrc,1,0
xciycmgh,1,0
display,112,62
chocolate,65,12
box,186,90
mouthwater,1,0
candy,33,8
individually,15,11
wrap,60,11
cello,1,0
bag,101,97
ensure,116,61
taste,83,20
treat,207,192
celebrate,24,7
specification,62,26
countcandy,1,0
candysize,1,0
counttotal,1,0
weight,242,219
approximately,18,19
pattern,19,61
hqdrg,1,0
kejlbv,1,0
zwlfrlcaq,1,0
denim,5,2
jean,12,11
forward,45,53
grow,115,69
playground,2,2
excellent,100,82
pair,20,9
comfortable,33,36
wear,42,60
occasion,39,15
dinodirect,6,3
vokfxqh,1,0
hbp,1,0
rw,1,2
aomuhw,1,0
vinyl,18,5
press,121,114
single,92,91
lift,22,13
album,7,1
lung,11,102
magnetic,3,15
florence,10,3
machine,87,61
built,113,28
formidable,2,2
critics,4,0
alike,14,11
highly,70,104
prestigious,19,6
brit,3,1
riotous,1,0
track,103,37
main,98,115
stage,23,90
prove,33,48
chart,39,52
version,56,22
lionheart,1,0
mix,121,48
leo,9,1
zero,8,12
remix,2,0
island,60,48
walk,79,79
ofulgxuhwz,1,0
emcsttl,1,0
jacket,10,8
fashionable,6,3
allow,160,143
supervise,5,28
outdoor,135,37
snap,33,6
buckle,5,1
velcro,5,0
unparallel,11,2
washable,13,2
durable,36,20
cotton,32,8
stylish,12,14
explore,83,62
stimulate,37,57
environment,59,37
leg,54,61
reduce,111,183
adjustable,16,10
elasticize,1,1
leash,20,4
extra,65,78
assort,7,2
trademark,117,84
foster,54,5
npz,2,0
qfhywlixpsi,1,0
ib,17,31
splash,16,0
preschool,1,12
hazel,2,3
edweena,1,0
jasper,1,1
colorful,26,2
kingdom,70,32
sticky,3,11
dilemma,3,1
ingenuity,4,0
creativity,8,3
episode,5,2
strange,12,7
bee,15,12
haviorthe,1,0
flighty,1,0
flyhazel,1,0
voicethe,1,0
perfect,202,52
rocka,1,0
droopy,2,0
rhffvbrgsznbfek,1,0
eeu,1,0
bw,1,1
especially,62,100
biomedical,2,7
humane,28,1
procedure,24,169
provide,441,431
technician,17,12
researcher,14,88
illustrate,30,8
numerous,36,38
figure,43,21
table,50,45
anesthetic,1,3
agent,17,88
method,80,82
euthanasia,3,0
recommend,149,167
needle,14,11
injection,7,86
sedative,8,6
immobilization,2,0
comb,16,3
bound,18,8
frequent,10,45
supplier,86,14
additional,152,153
sanitation,29,3
company,254,209
rrperread,1,0
jc,2,3
platform,26,7
cd,38,49
rom,9,2
mpn,2,0
fdbiyvcswdqzuwchgld,1,0
flower,78,13
athen,2,1
montreal,2,0
resurgent,1,0
catalog,128,24
overwhelm,17,23
success,125,172
albums,26,26
satanic,1,0
panic,11,8
attic,2,0
sunlandic,1,0
twin,12,32
isn,70,65
song,11,4
mini,71,41
shortly,5,3
highlight,19,28
cover,149,70
disguise,3,1
serve,149,83
foundation,81,64
manifest,1,19
affordable,69,107
kmtcmopaeqhee,1,0
bom,1,0
gomq,1,0
orange,31,14
pink,43,12
lemon,19,2
begin,140,142
message,102,143
tolerance,2,10
interactive,38,13
pop,41,13
board,86,102
adorable,27,0
delight,41,8
difference,47,75
similarity,4,0
hotbooksale,12,1
novel,7,8
vol,10,7
wryjfqqglm,1,0
nccezjsqg,1,0
updike,2,0
quartet,2,0
run,166,88
brilliant,13,0
poignant,2,0
clarity,6,3
insight,22,14
crystal,28,23
bright,27,15
prose,1,0
sorrow,1,0
washington,48,60
post,226,121
precise,4,21
graceful,1,0
stun,19,0
athlete,20,13
word,68,84
impeccable,1,2
observer,1,0
village,22,30
voicerabbit,1,0
redux,4,0
boldness,1,0
freedom,16,12
wisdom,12,34
kindness,2,1
exceedingly,2,1
rich,81,11
intelligence,8,3
wit,4,3
imagination,12,1
hyperbole,1,0
quot,1,5
letter,28,23
ago,121,49
thoma,17,13
mann,3,0
rare,48,31
verbal,1,1
genius,1,1
tragedy,3,3
bearable,1,0
masterpiece,1,1
coat,56,13
bvinyl,1,0
gix,1,0
shl,1,0
vk,3,0
fci,2,0
gvrfw,1,0
evocative,1,0
storytel,1,1
laura,14,7
nyro,1,0
soulful,3,0
sexiness,1,0
dusty,1,0
springfield,2,3
singer,4,0
songwriter,3,0
jenny,6,6
lewe,2,7
skip,49,72
contemporary,7,6
studio,30,15
gimmickry,1,0
proffer,1,0
solo,5,0
indie,1,0
darle,6,0
rilo,1,0
kiley,1,0
break,72,68
songwrite,1,0
democracy,1,0
shar,73,24
blake,2,0
sennett,1,0
elect,4,2
inspiration,13,9
crackle,1,1
youth,12,5
note,99,92
devil,4,1
acapella,1,0
gospel,1,1
hymn,1,0
sung,1,2
watson,1,0
wilbury,1,0
handle,99,98
conor,1,0
oberst,1,0
death,20,44
cab,4,0
cutie,3,1
ben,1,2
gibbard,1,0
verify,50,88
