Term,Class 1 Frequency,Class -1 Frequency
title-shop,114,27
title-com,172,121
header-rabbit,44,28
header-guinea,6,0
header-pig,17,3
header-hutch,6,0
guinea,640,14
pig,1460,100
hutch,305,2
product,9657,2293
review,2521,958
compare,635,498
price,3712,1987
shop,1553,424
advertisement,305,260
cage,876,25
cloth,68,56
house,480,328
toy,900,167
ball,78,60
accessory,498,141
webkinz,6,0
harness,62,11
join,398,293
clothing,420,39
sho,180,18
kid,465,546
iphone,48,5
app,84,22
boy,91,572
girl,160,497
infant,99,155
toddler,91,246
women,591,609
cartridge,75,13
toner,52,7
flash,111,84
memory,86,141
monitor,119,105
pc,73,144
laptop,97,12
pda,47,13
camcorder,67,7
cellular,60,14
digital,130,140
gp,105,8
device,72,56
mp,83,38
player,147,47
flat,125,57
panel,120,106
television,81,11
speaker,104,76
subwoofer,47,7
buy,858,302
guide,827,553
furniture,190,42
garden,508,96
furnish,56,10
kitchen,216,176
supply,1443,326
build,791,370
cosmetics,62,50
fragrance,134,26
aid,262,217
nutrition,605,345
baby,782,1751
seat,89,69
crib,53,41
bassinet,44,8
stroller,80,26
game,529,142
sponsore,457,157
low,946,386
cost,322,310
tiny,53,21
smarter,50,12
habitat,195,6
cheap,121,32
spend,63,62
bottle,306,197
huge,117,27
nextag,51,8
size,817,343
style,221,273
fast,367,117
ship,2408,671
rabbitcagesource,9,0
pamper,24,29
petsupply,27,0
shopzilla,50,12
line,292,824
fit,193,245
daily,370,283
americanpetdiner,1,0
result,1966,1074
peter,106,59
naturally,97,89
gift,739,282
set,1405,268
organics,27,34
apple,255,39
grape,38,16
fruit,393,109
snack,143,142
oz,441,109
pack,379,93
personalize,88,39
read,999,1209
age,299,681
deluxe,32,14
xdl,438,70
sordmx,3,0
aqumiepgwo,3,0
yzw,3,0
kit,360,179
stock,901,216
starter,57,12
plenty,59,40
little,437,340
critter,71,3
compact,38,44
dresser,14,0
counter,49,156
deep,158,65
prevent,240,370
b,216,49
scatter,41,1
white,341,251
wire,173,66
easy,702,281
superb,16,1
ventilation,30,24
includ,222,101
package,297,120
pine,61,10
pound,687,86
bunny,1015,26
kabob,10,0
play,276,166
nutri,11,3
nibble,12,1
water,685,1169
dish,99,27
instruction,137,32
ad,4561,775
newly,949,124
valid,1031,168
name,4425,1243
exist,1965,254
save,4835,921
reach,1065,147
upper,965,139
limit,1262,263
confirm,1019,159
email,2616,810
address,1668,453
alert,2239,343
oop,946,98
unable,973,128
invalid,959,127
choose,2237,422
visibility,926,91
public,999,203
private,985,140
cancel,1020,123
target,173,67
store,3426,605
commercial,125,99
raise,1017,84
hmgrp,1,0
pfmzaictpnmpx,1,0
free,3394,1663
available,975,706
american,505,273
eat,324,151
million,134,115
domestic,117,249
meat,898,276
rabbitry,16,1
producer,96,12
lend,21,3
type,595,726
production,240,157
pearly,2,0
fine,95,143
grain,209,74
palatable,4,0
nutritious,40,17
convenient,66,69
source,413,182
protein,711,94
fat,600,109
caloric,6,2
content,295,374
rabbitskin,4,0
value,201,165
grad,10,15
dress,111,39
dy,35,20
shear,27,7
fur,51,5
garment,22,2
trim,123,21
skin,891,587
slipper,16,2
glove,44,9
lin,3,8
shre,8,3
flesh,9,3
dry,341,167
separate,44,16
glue,4,23
relatively,14,24
volume,43,31
market,673,323
satisfactorily,2,0
increase,260,435
demand,52,44
laboratory,32,165
biological,31,24
purpose,149,196
opportunity,180,232
near,139,143
school,171,269
hospital,48,307
contribution,24,1
research,226,584
venereal,2,1
disease,435,4731
cardiac,15,35
hypertension,28,59
virology,2,2
tool,553,685
pregnancy,77,1209
infectious,6,86
development,101,410
hyperimmune,2,0
sera,2,1
antitoxin,2,0
teach,75,57
anatomy,8,51
physiology,30,7
industry,223,196
scientific,64,76
personnel,5,10
organ,26,102
tissue,33,328
specialize,47,122
availability,79,24
byproduct,6,1
greatly,36,15
facilitate,7,29
basic,95,224
amazon,663,125
kathryn,3,2
st,440,182
century,43,40
release,167,196
date,461,420
detail,526,176
money,233,198
pricegrabber,16,2
pethouse,5,0
follow,434,458
step,269,238
plan,602,422
send,474,232
monthly,132,67
guineapigsmonthly,1,0
pronto,200,11
petco,52,0
safe,254,321
haven,15,44
kotula,1,0
sl,15,4
fox,165,15
wzq,1,0
olobvkcoe,1,0
pkejhljg,1,0
story,583,374
flight,9,10
book,1384,301
level,442,444
mcphail,2,0
irresistible,6,2
menagerie,4,0
simple,251,122
friendship,19,22
told,40,132
warmth,14,13
charm,106,13
humor,18,37
expect,94,197
acclaim,5,1
author,166,48
john,137,233
connor,1,1
whimsical,22,0
illustration,74,20
successfully,63,54
introduce,50,30
mind,183,146
emma,3,3
donoghue,1,0
woman,30,120
birth,119,613
stor,450,132
gbqlksu,1,0
smu,1,0
ibokkjpidq,1,0
design,721,509
rosette,5,0
entire,97,107
feature,690,402
scoop,143,23
neck,67,224
fringe,5,0
grey,27,72
fabric,53,3
pleate,3,0
sleeve,78,28
shift,16,35
silhouette,9,1
beautiful,275,70
option,245,627
plum,32,2
exaggerate,2,2
hound,12,1
tooth,25,278
embellish,3,0
zipper,11,4
approximate,9,0
length,74,52
center,363,841
hem,6,19
measurement,12,25
click,1128,758
acrylic,37,7
polyester,29,8
clean,361,227
model,237,265
rr,3,8
overstock,25,0
vjstor,1,0
eeuhl,1,0
dddq,1,0
stud,21,13
matte,1,0
jersey,161,172
silvertone,2,0
dome,8,5
pepper,139,23
mesh,61,25
neckline,2,0
elegant,21,4
simplicity,6,3
accent,9,0
pullover,3,2
inch,304,100
spandex,5,1
wash,87,40
rid,102,29
stand,97,97
tall,49,20
bust,4,1
waist,10,20
hip,31,60
night,242,186
ithjbynap,1,0
rqqemdykma,1,0
arrive,95,31
creative,47,33
solution,291,634
peaceful,13,6
coexistence,2,0
creature,41,7
enchant,8,0
frustrate,7,5
father,29,66
elizabeth,39,21
treasure,15,2
dance,19,24
lawn,48,91
front,198,591
summer,146,67
cabin,15,2
hot,259,309
sleepless,1,2
porch,20,0
magical,14,0
scene,8,16
gentle,43,80
frolick,1,0
grass,305,29
chorus,1,0
sound,287,291
eate,291,184
praise,16,2
montgomery,4,17
dynamic,11,6
paint,87,36
nicely,2,0
complement,10,2
text,202,104
capture,17,7
sense,44,39
swear,2,4
hear,44,103
cricket,15,2
chirp,2,0
yourself,251,226
york,244,207
twist,29,19
tale,34,30
child,141,340
wonder,66,68
nature,265,90
sesame,16,0
street,64,74
ugbyfjqu,1,0
dmysenyjlelw,1,0
tom,28,7
smother,3,0
drop,119,95
rat,93,10
race,25,17
magician,5,0
offbeat,3,0
comedy,20,4
direct,59,125
brian,12,9
palma,2,1
scarface,2,0
untouchable,2,0
donald,13,6
beeman,3,0
soon,84,135
marvelous,4,0
train,442,341
magic,38,17
odd,11,2
delasandro,1,0
orson,1,0
welle,1,0
own,641,189
fulfillment,3,0
special,806,365
admirer,1,0
katharine,3,0
ross,2,9
wow,27,23
local,581,268
strip,116,21
club,166,50
gin,2,1
mill,62,10
corporate,85,87
abandon,9,7
heel,5,14
musician,2,1
inc,644,928
fantasy,7,2
dropout,1,0
camp,261,29
engineer,50,287
ex,16,9
boss,9,9
astin,1,0
slum,1,0
ceo,7,0
widely,19,41
proclaim,6,0
role,37,122
abracadabra,1,0
ready,221,99
laugh,54,58
manufacture,98,107
dvd,60,55
recordable,6,5
media,306,174
standard,234,379
return,254,196
policy,1034,784
apply,238,138
disc,10,1073
include,831,904
recorder,12,3
drive,124,141
rfg,1,0
nlhnpxvcvxosrniivq,1,0
born,107,33
victorian,4,1
london,22,10
july,136,65
th,236,308
beatrix,10,7
potter,10,8
children,395,308
starte,170,89
move,243,186
rest,144,133
delightful,47,4
warm,96,43
remember,137,70
fondly,1,0
childhood,15,40
discover,212,131
timeless,2,2
hello,40,15
qq,3,1
hllegec,1,0
rwggnez,1,0
fg,2,0
hit,81,46
contain,369,249
six,77,103
episod,11,25
nbc,112,35
qubo,2,0
telemundo,2,0
ion,5,395
animate,15,1
sery,352,169
wide,162,144
ey,103,232
adventure,80,13
mouse,41,26
thick,59,32
thin,73,60
unravel,2,2
typical,14,23
childlike,1,0
situation,29,43
inevitably,1,26
lead,182,402
imaginative,1,1
exploration,7,2
hilarious,5,0
predicament,2,0
inventive,3,1
endear,3,0
curiosity,1,2
critical,48,44
solve,18,30
journey,22,50
destination,28,16
caldecott,3,0
medal,17,0
spkavlfibrotd,3,0
fsnrgpla,3,0
edition,130,33
user,365,138
friendly,247,109
caretaker,7,1
perspective,9,11
written,260,52
people,700,1000
background,47,33
goal,208,90
active,139,176
inform,33,63
decision,88,69
substitute,43,52
trip,50,49
predecessor,3,0
favorable,3,1
exotic,110,7
magazine,258,41
revise,24,5
incorporate,49,58
country,746,214
millennium,3,0
topics,114,321
symptom,184,2319
treatment,321,3958
variety,260,180
condition,578,1501
diagnostic,27,115
test,553,1165
understand,226,331
drug,142,1035
prescription,53,104
supplement,780,298
alternative,120,350
cop,29,29
loss,1198,408
resource,336,445
reference,128,101
sprinkl,7,2
throughout,145,128
touch,86,87
serious,59,178
feel,297,490
smokey,3,0
inspire,58,21
original,161,26
murray,12,1
contribute,24,61
update,299,254
bad,215,186
mood,41,73
unvgg,1,0
ye,1,0
vlj,1,0
sd,26,28
xaf,1,0
attitude,45,15
disgust,4,0
won,134,56
channel,97,34
salad,185,17
un,12,2
ignorable,1,0
ly,28,44
sofa,3,0
chip,37,45
wip,1,4
booger,1,0
rug,12,6
whatever,25,17
unusual,21,31
portrayal,1,0
banish,7,0
giggle,3,0
combine,236,92
silly,4,2
shake,66,29
grumpy,1,0
resonate,2,0
volkswagen,24,349
diabwhkw,1,0
ttf,1,0
wr,1,2
pkxjg,1,0
auto,185,60
wheel,158,58
bear,55,24
mm,32,51
dac,8,0
double,92,109
row,36,7
dimension,41,7
inner,11,40
diameter,20,8
outer,7,30
width,36,6
seal,42,33
metric,3,0
id,97,153
bore,2,3
od,1,5
height,68,74
thic,1,0
kness,1,1
closure,6,2
rubber,42,15
quantity,135,46
tt,10,3
quattro,1,0
sephia,1,0
spectra,1,0
maata,1,0
mx,4,1
prot,2,0
beetle,5,5
golf,47,24
gti,2,192
jetta,2,3
vxb,1,0
rate,721,425
cookie,73,21
cutter,43,15
okwcrzznnuwemioeo,1,0
measure,91,76
cute,197,45
decorate,29,16
easter,90,12
copper,52,178
tightly,5,6
fold,21,14
safety,205,421
stability,11,29
sturdy,29,27
shape,89,46
solder,3,0
permanent,23,33
hold,139,103
handmade,44,7
vary,128,92
coppergift,8,0
dirty,22,10
mbyc,1,0
drviz,1,0
xwlukyixg,1,0
brainchild,3,0
shawn,6,1
clown,5,0
crahan,2,0
memember,2,0
alt,3,2
metal,113,63
meister,2,0
slipknot,3,0
stella,7,0
vocal,9,2
mid,19,43
starlet,2,0
soleil,1,0
michael,25,38
pfaff,1,0
ryan,12,7
martin,26,22
jeff,11,1
karnowski,1,0
usually,69,345
tak,325,338
artist,39,7
lifetime,54,12
piece,91,51
artistic,4,2
puzzle,20,31
dlr,2,2
simon,6,0
ep,8,1
self,81,146
title,118,39
debut,9,0
produce,177,221
dear,33,25
band,81,28
seven,100,33
finally,68,93
aside,14,5
project,93,64
focus,43,81
initial,49,78
tremendous,7,6
european,26,20
tour,122,34
lik,38,28
lacuna,1,0
coil,2,24
stone,59,67
sour,30,11
msi,1,0
fan,160,60
appeal,33,16
radio,165,12
history,233,203
immediately,50,80
draw,46,32
curious,24,7
hardcore,6,1
rock,88,33
collection,191,79
portion,64,44
trust,151,94
themself,75,35
music,167,36
talent,8,13
faction,1,0
ton,116,30
toure,12,0
belt,39,44
tight,23,16
knit,9,2
collective,60,7
waite,70,25
performance,380,211
warp,1,1
unbelievable,92,10
campaign,14,44
willingness,1,1
art,283,95
space,87,87
belong,6,7
hole,51,25
perhap,21,26
nn,2,1
ooiyigva,1,1
gxow,1,1
ylw,1,1
ronald,5,11
reagan,3,2
afraid,39,5
client,89,64
government,46,40
employer,13,4
teacher,13,31
virtually,25,31
authority,18,16
feed,1678,435
crocodile,2,1
hop,41,37
beast,8,2
deceive,1,3
path,51,59
cross,76,63
entity,45,9
religious,5,11
deception,2,2
sacre,21,2
cult,1,1
secret,246,45
society,102,62
true,78,112
ori,1,1
specy,158,10
recur,9,18
theme,36,24
awaken,4,7
truth,58,58
existence,1,8
escape,12,8
reality,24,34
seek,72,66
intellectually,1,1
challeng,6,33
stim,4,2
ulate,1,1
seeker,2,2
glimpse,6,2
evident,4,27
nqadzab,1,0
ig,2,1
jxwabaq,1,0
drape,8,0
wardrobe,12,6
surplice,2,0
lqa,1,0
avhdrbghwa,1,0
emerge,8,20
electro,8,1
wunderkid,2,0
breakbot,4,0
craft,78,67
party,394,220
tun,8,0
footstep,2,0
duo,4,0
justice,9,9
parisian,2,0
thibaut,4,0
berland,2,0
aka,15,20
master,64,33
melte,2,0
element,95,24
skill,57,45
precision,39,20
immerse,2,6
sight,13,7
subsequent,3,14
decade,12,44
remain,124,107
appropriately,1,3
pull,55,58
animation,7,31
graphics,67,13
comics,3,0
chose,66,78
neither,5,7
nor,60,9
possess,11,5
film,29,26
co,203,139
cook,234,52
choice,243,249
cut,208,120
experiment,13,10
beat,83,16
layer,101,79
keyboard,9,1
daft,1,0
punk,4,0
esque,3,0
yo,6,1
funk,1,0
bassline,1,0
acanzt,1,2
mmoij,1,2
gfglumg,1,2
delicious,167,32
ideal,125,47
organic,929,210
sugar,199,155
artificial,34,51
ingredient,378,230
squeezable,14,7
pouch,35,80
mean,161,229
spoon,6,10
resealable,6,5
whenever,13,22
start,689,519
wean,17,5
don,579,370
natural,865,458
count,68,95
diaper,34,48
drawn,13,3
vnya,2,0
wz,2,0
fq,4,4
ojhfw,2,0
hqa,2,0
cartoon,23,5
describe,37,69
lot,279,152
organize,28,16
richer,11,4
familiar,18,20
surprise,123,33
bunnysuit,2,0
invention,11,0
teamwork,3,0
travel,346,314
sundae,5,0
bunnyservant,2,0
hope,148,186
enjoy,326,121
image,494,455
pzwb,1,0
fxd,1,0
otiyg,1,0
flopsy,4,0
mopsy,2,0
cottontail,4,1
mother,93,155
sand,27,5
bank,75,254
underneath,7,49
fir,9,5
tree,247,142
naughty,3,3
steal,5,1
vegetable,265,68
farmer,305,31
despite,15,20
entertain,52,24
youngster,2,0
winsome,1,0
watercolor,4,0
lisa,33,20
mccue,1,0
br,263,163
fresh,397,60
literature,20,17
delicately,1,0
abridge,1,0
preserve,45,41
flavor,294,22
sit,60,35
milk,1112,258
dn,2,0
kggrc,1,0
xciycmgh,1,0
display,153,104
chocolate,408,25
box,336,237
mouthwater,2,0
candy,67,9
individually,15,14
wrap,118,18
cello,1,0
bag,466,150
ensure,165,86
taste,219,30
treat,733,327
celebrate,40,8
specification,78,105
countcandy,1,0
candysize,1,0
counttotal,1,0
weight,2143,599
approximately,35,31
pattern,46,148
hqdrg,1,0
kejlbv,1,0
zwlfrlcaq,1,0
denim,7,4
jean,14,19
forward,53,59
grow,210,107
playground,4,2
excellent,147,192
pair,27,14
comfortable,58,76
wear,87,82
occasion,83,73
dinodirect,29,21
vokfxqh,1,0
hbp,1,0
rw,1,2
aomuhw,1,0
vinyl,40,6
press,179,135
single,137,124
lift,28,37
album,18,1
lung,17,387
magnetic,4,18
florence,13,4
machine,169,115
built,191,36
formidable,3,7
critics,8,0
alike,16,11
highly,105,126
prestigious,19,12
brit,3,1
riotous,1,0
track,169,61
main,138,164
stage,34,178
prove,36,55
chart,47,145
version,112,30
lionheart,1,0
mix,329,76
leo,16,2
zero,44,12
remix,2,0
island,127,64
walk,189,144
ofulgxuhwz,1,0
emcsttl,1,0
jacket,113,13
fashionable,9,4
allow,262,220
supervise,6,29
outdoor,254,78
snap,81,6
buckle,11,1
velcro,9,0
unparallel,12,3
washable,43,3
durable,112,46
cotton,98,47
stylish,36,36
explore,100,99
stimulate,66,90
environment,84,50
leg,149,138
reduce,215,333
adjustable,20,48
elasticize,1,2
leash,29,5
extra,102,99
assort,17,2
trademark,265,108
foster,106,10
npz,3,0
qfhywlixpsi,1,0
ib,23,68
splash,32,0
preschool,2,47
hazel,3,4
edweena,2,0
jasper,2,1
colorful,56,2
kingdom,81,34
sticky,3,12
dilemma,4,1
ingenuity,4,0
creativity,16,6
episode,6,2
strange,13,9
bee,30,14
haviorthe,1,0
flighty,1,0
flyhazel,1,0
voicethe,1,0
perfect,417,70
rocka,1,0
droopy,2,0
rhffvbrgsznbfek,1,0
eeu,1,0
bw,1,1
especially,78,131
biomedical,3,14
humane,63,1
procedure,29,507
provide,1049,829
technician,48,51
researcher,16,141
illustrate,58,12
numerous,37,46
figure,77,33
table,79,67
anesthetic,1,4
agent,23,176
method,109,135
euthanasia,3,0
recommend,263,334
needle,15,15
injection,9,203
sedative,8,6
immobilization,2,0
comb,43,6
bound,22,10
frequent,21,59
supplier,133,18
additional,257,215
sanitation,32,3
company,638,495
rrperread,2,0
jc,3,3
platform,35,11
cd,82,101
rom,9,2
mpn,3,0
fdbiyvcswdqzuwchgld,1,0
flower,177,18
athen,15,1
montreal,4,0
resurgent,2,0
catalog,237,85
overwhelm,20,25
success,212,317
albums,34,28
satanic,2,0
panic,14,15
attic,6,0
sunlandic,2,0
twin,23,83
isn,86,83
song,69,10
mini,200,51
shortly,5,3
highlight,26,30
cover,346,121
disguise,3,1
serve,373,120
foundation,127,97
manifest,1,32
affordable,87,113
kmtcmopaeqhee,1,0
bom,1,0
gomq,1,0
orange,65,46
pink,122,62
lemon,33,3
begin,219,185
message,121,182
tolerance,3,17
interactive,65,24
pop,59,23
board,139,322
adorable,51,0
delight,46,9
difference,68,89
similarity,4,0
hotbooksale,15,1
novel,19,13
vol,17,9
wryjfqqglm,1,0
nccezjsqg,1,0
updike,6,0
quartet,3,0
run,312,116
brilliant,17,0
poignant,3,0
clarity,7,4
insight,28,16
crystal,47,32
bright,46,37
prose,1,0
sorrow,1,0
washington,73,135
post,614,276
precise,5,26
graceful,1,0
stun,22,0
athlete,41,15
word,134,101
impeccable,1,2
observer,1,0
village,38,36
voicerabbit,1,0
redux,6,0
boldness,1,0
freedom,28,17
wisdom,14,73
kindness,2,1
exceedingly,2,1
rich,131,14
intelligence,10,5
wit,9,3
imagination,42,1
hyperbole,1,0
quot,1,5
letter,55,36
ago,431,178
thoma,45,31
mann,3,0
rare,59,53
verbal,1,1
genius,1,1
tragedy,3,6
bearable,1,0
masterpiece,1,1
coat,86,34
bvinyl,1,0
gix,1,0
shl,1,0
vk,13,0
fci,3,0
gvrfw,1,0
evocative,2,0
storytel,2,1
laura,19,8
nyro,2,0
soulful,5,0
sexiness,2,0
dusty,2,0
springfield,7,3
singer,6,0
songwriter,9,0
jenny,8,7
lewe,10,11
skip,64,172
contemporary,14,6
studio,44,28
gimmickry,2,0
proffer,2,0
solo,6,0
indie,1,0
darle,6,0
rilo,1,0
kiley,1,0
break,87,85
songwrite,1,0
democracy,1,0
shar,96,37
blake,4,0
sennett,1,0
elect,6,3
inspiration,14,9
crackle,1,1
